Binance;binance.com
Coinbase Pro;pro.coinbase.com
Huobi Global;huobi.com
Kraken;kraken.com
Bithumb;bithumb.com
Bitfinex;bitfinex.com
bitFlyer;bitflyer.com
Bitbank;bitbank.cc
Bitcoin-COM;bitcoin.com
Bitcoin-IT;bitcoin.it
litecoinpool;litecoinpool.org
Blockchain-INFO;blockchain.info
Blockchain-COM;blockchain.com
Bittrex;bittrex.com
Bitstamp;bitstamp.net
ZB.COM;zb.com
Binance.US;binance.us
Luno;luno.com
Upbit;upbit.com
Bibox;bibox.com
Coinone;coinone.co.kr
FTX;ftx.com
KuCoin;kucoin.com
ZBG;zbg.com
OKEx;okex.com
Poloniex;poloniex.com
HitBTC;hitbtc.com
Gate.io;gate.io
GOPAX;gopax.co.kr
Liquid;liquid.com
MXC;mxc.com
Bitrue;bitrue.com
Coineal;coineal.com
Huobi Korea;huobi.co.kr
Bithumb Global;bithumb.pro
Paribu;paribu.com
LATOKEN;latoken.com
CoinEx;coinex.com
EXMO;exmo.me
Bitvavo;bitvavo.com
Mercado Bitcoin;mercadobitcoin.com.br
P2PB2B;p2pb2b.io
BitMax;bitmax.io
Folgory;folgory.com
VCC Exchange;vcc.exchange
ProBit Exchange;probit.com
RightBTC;rightbtc.com
Indodax;indodax.com
BtcTurk | Pro;pro.btcturk.com
BW.com;bw.com
Huobi Russia;huobi.com.ru
OceanEx;oceanex.pro
BitZ;bitz.top
IndoEx;international.indoex.io
CoinDCX;coindcx.com
Hoo;hoo.com
CoinHe;coinhe.io
AAX;aax.com
CoinTiger;cointiger.com
BBX;bbx.com
Bilaxy;bilaxy.com
Gemini;gemini.com
Coinsbit;coinsbit.io
LBank;lbank.info
DigiFinex;digifinex.com
StormGain;stormgain.com
Alterdice;alterdice.com
Bitso;bitso.com
CEX.IO;cex.io
Binance JEX;jex.com
WazirX;wazirx.com
Hotbit;hotbit.io
Bitpanda Pro;bitpanda.com
Korbit;korbit.co.kr
Livecoin;livecoin.net
STEX;stex.com
Mercatox;mercatox.com
Bione;bione.cc
OKCoin;okcoin.com
Bitkub;bitkub.com
CoinField;coinfield.com
Zaif;zaif.jp
BTC-Alpha;btc-alpha.com
HBTC;hbtc.com
CROSS exchange;crossexchange.io
